Tajuk Perolehan,Kategori Perolehan,Kementerian,Agensi,Nama Syarikat,Nilai Perolehan,Kriteria Rundingan Terus,Tarikh
"PERMOHONAN MELAKSANAKAN PEROLEHAN PERALATAN PERUBATAN IMBASAN COMPUTED TOMOGRAPHY (CT SCAN) 16 SLICES BAGI JABATAN PENGIMEJAN DAN DIAGNOSTIK, HOSPITAL AMPANG SECARA RUNDINGAN TERUS",BEKALAN,KEMENTERIAN KESIHATAN,HOSPITAL AMPANG,METRO JENDELA SDN. BHD.,2607420.00,"MENDESAK, PENYERAGAMAN",24/03/2015
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS RAPID TEST KIT FILARIASIS (PANFL RAPID) BAGI TEMPOH ENAM BULAN (10 JUN 2015 - 31 DISEMBER 2015),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,KEMENTERIAN KESIHATAN MALAYSIA,BIO ETC SDN BHD,186965.00,"MENDESAK,           SATU PUNCA (BEKALAN)",19/03/2015
PEROLEHAN TAMBAHAN LESEN PERISIAN IBM BAGI PERLUASAN PERLAKSANAAN APLIKASI PEMPROFAILAN PEMBAYAR CUKAI 360-DEGREE DI LEMBAGA HASIL DALAM NEGERI MALAYSIA SECARA RUNDINGAN TERUS DENGAN PRISMA KHAS SDN. BHD. BAGI TEMPOH TIGA TAHUN DUA BULAN MULAI 1 JUN 2015 HINGGA 31 JULAI 2018,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),PRISMA KHAS SDN. BHD.,3320000.00,"PENYERAGAMAN, KEPAKARAN",17/03/2015
KURSUS PLAYGROUND SAFETY INSPECTOR CERTIFICATION (CPSI) COURSE & EXAMINATION PADA 25 HINGGA 31 MAC 2015 DI PUTRAJAYA ANJURAN PERBADANAN PUTRAJAYA DENGAN PERTUBUHAN KESELAMATAN TAMAN PERMAINAN MALAYSIA (PSAM),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN WILAYAH PERSEKUTUAN,PERBADANAN PUTRAJAYA,PERTUBUHAN KESELAMATAN TAMAN PERMAINAN MALAYSIA (PSAM),52900.00,KEPAKARAN,17/03/2015
PEROLEHAN PERKHIDMATAN SISTEM PEROLEHAN BERELETRONIK BAGI MODUL EBIDDING DI LEMBAGA HASIL DALAM NEGERI MALAYSIA SECARA RUNDINGAN TERUS DENGAN COMMERCE DOT COM SDN. BHD. UNTUK TEMPOH DUA TAHUN MULAI 1 JUN 2015 HINGGA 31 MEI 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),COMMERCE DOT COM SDN. BHD.,98580.00,PENYERAGAMAN,13/03/2015
PERMOHONAN KELULUSAN BAGI CADANGAN PELANTIKAN SSDM SOFTWARE SDN. BHD. SECARA RUNDINGAN TERUS BAGI PENAMBAHBAIKAN FUNGSI KIOSK BAGI TAHUN 2015 DI KUMPULAN WANG SIMPANAN PEKERJA (KWSP) DENGAN TEMPOH SIAP 81 'MANDAYS',PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),SSDM SOFTWARE SDN. BHD.,97880.00,PENYERAGAMAN,13/03/2015
PERMOHONAN UNTUK MELAKSANAKAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PROGRAM SEKOLAH TRANSFORMASI UNTUK KEMENTERIAN PENDIDIKAN MALAYSIA BAGI TEMPOH 1 JUN 2015 SEHINGGA 31 JULAI 2016,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PENGURUSAN SEKOLAH HARIAN,LEAPED SERVICES SDN BHD,13500000.00,"PENYERAGAMAN, KEPAKARAN",13/03/2015
PERMOHONAN KELULUSAN CADANGAN PELANTIKAN SYARIKAT GI SOLUTION GATEWAY SDN. BHD. BAGI PERKHIDMATAN PENYELENGGARAAN PERISIAN PFS DAN AFIS DI KUMPULAN WANG SIMPANAN PEKERJA (KWSP) SECARA RUNDINGAN TERUS BAGI TEMPOH LIMA  TAHUN MULAI 1 JULAI 2015 HINGGA 30 JUN 2020,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),GI SOLUTIONS GATEWAYS SDN. BHD.,38219797.78,PENYERAGAMAN,12/03/2015
PERMOHONAN PEROLEHAN PENGHASILAN PROTOTAIP JAMBATAN MUDAH ALIH (FOREST MOBILE BRIDGE - FMB) SECARA RUNDINGAN TERUS UNTUK TEMPOH 15 MEI 2015 HINGGA 14 JULAI 2015,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,INSTITUT PENYELIDIKAN PERHUTANAN MALAYSIA (FRIM),F&G SOLUTIONS SDN BHD,93300.00,"SATU PUNCA (PERKHIDMATAN), KEPAKARAN",10/03/2015
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PROGRAM LATIHAN PETUGAS BARISAN HADAPAN DAN TRAIN THE TRAINER INISIATIF STRATEGI LAUTAN BIRU KEBANGSAAN (NBOS) 1MALAYSIA CUSTOMER SERVICE OF CIVIL SERVANTS (1SERVE) DENGAN TEMPOH KONTRAK SELAMA 8 MINGGU MULAI 31 MAC 2015 HINGGA 30 MEI 2015,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERKHIDMATAN AWAM,FAARA TRAINING RESOURCES,226000.00,PENYERAGAMAN,09/03/2015
"PEROLEHAN JABATAN KASTAM DIRAJA MALAYSIA (JKDM) BAGI PROJEK PENAMBAHBAIKAN SISTEM MAKLUMAT KASTAM (SMK), SISTEM AUTHORISED ECONOMIC OPERATOR (AEO) DAN SISTEM EDI COMMUNICATION SERVER (ECS) UNTUK PELAKSANAAN GOODS AND SERVICES TAX (GST) BAGI TEMPOH PELAKSANAAN SELAMA SATU  TAHUN MULAI 31 MAC 2015 HINGGA 30 MAC 2016",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,EDARAN IT SERVICES SDN BHD,485000.00,"MENDESAK, PENYERAGAMAN",03/03/2015
"PERKHIDMATAN PENAMBAHBAIKAN SISTEM TERAS KWSP (PROVIDENT FUND SYSTEM, PFS)BAGI MEWUJUDKAN PENGENDALIAN KWSP-ISLAMIK UNTUK TEMPOH 15 BULAN MULAI 1 OKTOBER 2015 HINGGA 31 DISEMBER 2016 DAN PERKHIDMATAN PENYELENGGARAAN UNTUK TEMPOH TIGA TAHUN",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),SYMPHONY SOLUTIONS GATEWAY SDN. BHD.,13409000.00,"SATU PUNCA (PERKHIDMATAN), PENYERAGAMAN",03/03/2015
PEMBANGUNAN AIRTIME REVENUE MANAGEMENT SYSTEM (ARMS) KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA (KKMM) UNTUK TEMPOH 15 JUN 2015 HINGGA 14 JUN 2018,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,BAHAGIAN KEWANGAN,RENTAK SETIA SDN. BHD.,5601596.00,"MENDESAK,            SATU PUNCA (PERKHIDMATAN), PENYERAGAMAN",03/03/2015
PERMOHONAN RUNDINGAN TERUS BAGI PELANTIKAN SYARIKAT GHA EVENTS SDN. BHD SEBAGAI PEMBEKAL PERKHIDMATAN UNTUK PENGURUSAN DAN KEPERLUAN LOGISTIK SERTA TEKNIKAL PROGRAM CRAFT INTERNATIONAL FESTIVAL (CIF) 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,TIADA AGENSI,GHA EVENTS SDN. BHD,2706522.00,"MENDESAK, KEPAKARAN",24/02/2015
"PERMOHONAN BAGI PERKHIDMATAN MEMBEKAL, MEMASANG, MENGUJI, MENTAULIAH, MENAIK TARAF, MENYENGGARA DAN MENYEDIAKAN KHIDMAT SOKONGAN UNTUK SISTEM PERAKAUNAN HASIL BERELEKTRONIK (ERAS) DI LEMBAGA HASIL DALAM NEGERI MALAYSIA SECARA RUNDINGAN TERUS DENGAN CENTURY SOFTWARE (M) SDN. BHD. (CENSOF)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,6100000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),26/02/2013
PERMOHONAN RUNDINGAN TERUS SEBAGAI PEMBEKAL PERKHIDMATAN UNTUK PENGURUSAN ACARA DAN KEPERLUAN LOGISTIK SERTA TEKNIKAL PROGRAM CRAFT INTERNATIONAL FESTIVAL (CIF) 2015 MULAI 10 SEPTEMBER 2015 HINGGA 13 SEPTEMBER 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,TIADA AGENSI,GHA EVENTS SDN BHD,2706522.00,KEPAKARAN,24/02/2015
"PROGRAM PERUMAHAN RAKYAT (PPR) JABATAN PERUMAHAN NEGARA, KPKT SECARA RUNDINGAN TERUS BAGI PPR KOTA SETAR, ALOR SETAR, KEDAH
BIL UNIT : 500 UNIT
TEMPOH PEMBINAAN : 36 BULAN",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,TULANGIS MAJU SDN. BHD.,95000000.00,Keperluan Mendesak,25/02/2013
"PROGRAM PERUMAHAN RAKYAT (PPR) JABATAN PERUMAHAN NEGARA, KPKT SECARA RUNDINGAN TERUS BAGI PPR DIMILIKI DIPAYA RUMPUT, MELAKA TENGAH, MELAKA
BIL. UNIT : 600 UNIT
TEMPOH PEMBINAAN : 36 BULAN",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,GEMAWAN BINA SDN. BHD.,101000000.00,Keperluan Mendesak,25/02/2013
"PROGRAM PERUMAHAN RAKYAT (PPR) JABATAN PERUMAHAN NEGARA, KPKT SECARA RUNDINGAN TERUS BAGI PPR KOTA BHARU, KELANTAN
BIL UNIT : 1,000 UNIT
TEMPOH PEMBINAAN : 36 BULAN",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,INSPIRASI PERKASA SDN. BHD.,188624500.00,Keperluan Mendesak,25/02/2013
"PROGRAM PERUMAHAN RAKYAT (PPR) JABATAN PERUMAHAN NEGARA, KPKT SECARA RUNDINGAN TERUS BAGI PPR AYER PANAS, MELAKA
BIL. UNIT : 500 UNIT
TEMPOH PEMBINAAN : 30 BULAN",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,PERMATA REBANA SDN. BHD.,80000000.00,Keperluan Mendesak,25/02/2013
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI SEWAAN PERALATAN DAN PENYELENGGARAAN SISTEM KEHADIRAN BIOMETRIK UNTUK KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",,KERSUMA NYATA SDN. BHD.,148000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman, Keperluan Mendesak",20/02/2013
PERMOHONAN KELULUSAN KEMENTERIAN KEWANGAN BAGI PEROLEHAN PERKHIDMATAN PENGURUSAN PROMOSI KEMENTERIAN PELAJARAN MALAYSIA (KPM) SECARA RUNDINGAN TERUS DENGAN MEDIA PRIMA BERHAD,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,,MEDIA PRIMA BERHAD,26257694.86,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),20/02/2013
PERMOHONAN PERUBAHAN SKOP GOVERNMENT REGIONAL ELECTRONIC ADVANCE TRANSFORMATION (GREAST) FASA 1,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,UNIT PEMODENAN TADBIRAN & PERANCANGAN PENGURUSAN MALAYSIA (MAMPU),BRILLIANCE INFORMATION SDN BHD,375000.00,Keperluan Mendesak,14/02/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENYELENGGARAAN SISTEM STANDARD ACCOUNTING FOR GOVERNMENT AGENCIES  (SAGA) UNTUK PERBADANAN HARTA INTELEK MALAYSIA (MYIPO),PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",PERBADANAN HARTA INTELEK MALAYSIA,CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,57000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Keperluan Mendesak",13/02/2013
"PERMOHONAN PEROLEHAN TAMBAHAN KUANTITI BAGI MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENGUJI DAN MENTAULIAH 2 UNIT MESIN PENGIMBAS BAGASI (ONE-OFF)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,UNIT PEMODENAN TADBIRAN & PERANCANGAN PENGURUSAN MALAYSIA (MAMPU),DINUAR SDN. BHD.,350000.00,Keperluan Mendesak,13/02/2013
"PERKHIDMATAN PENYELENGGARAAN PENCEGAHAN, PEMBAIKAN KEROSAKAN DAN PEMBEKALAN ALAT GANTI BAGI 6 UNIT MESIN PENGIMBAS RELOCATABLE VACIS II-CE DAN 1 UNIT MESIN PENGIMBAS PORTAL VACIS UNTUK JABATAN KASTAM DIRAJA MALAYSIA BAGI TEMPOH TIGA TAHUN MULAI 5 JUN 2015 HINGGA 4 JUN 2018",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,JURUPRO SDN. BHD.,11527309.20,"SATU PUNCA (BEKALAN), SATU PUNCA (PERKHIDMATAN)",23/02/2015
"PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI MEMBEKAL, MEMASANG DAN MENGUJIGUNA MESIN CHOPIN MIXOLAB 2 - A COMPREHENSIVE SYSTEM FOR RESEARCH AND QUALITY CONTROL OF FLOUR KE PUSAT PENYELIDIKAN TEKNOLOGI MAKANAN, IBU PEJABAT MARDI, SERDANG MULAI 4 MEI 2015 HINGGA 27 JULAI 2015",BEKALAN,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,INSTITUT PENYELIDIKAN DAN KEMAJUAN PERTANIAN MALAYSIA (MARDI),TRANSLAB (M) SDN.BHD.,234000.00,SATU PUNCA (BEKALAN),23/02/2015
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI PERKHIDMATAN PEMBANGUNAN DAN PELAKSANAAN SISTEM SOKONGAN SAGA GST LEMBAGA PERTUBUHAN PELADANG DENGAN SAF PILIHAN SDN. BHD. BAGI TEMPOH SIAP/PENGHANTARAN PADA MINGGU KETIGA BULAN APRIL 2015,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA PERTUBUHAN PELADANG (LPP),SAF PILIHAN SDN. BHD.,100300.00,MENDESAK,18/02/2015
"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJILARI DAN MENTAULIAH ""VIRTUAL ISTUDIO VIRTUAL PRESENTATION AND RECORDING SYSTEM"" SECARA RUNDINGAN TERUS MELALUI 'ONE OFF'",BEKALAN,KEMENTERIAN PENDIDIKAN,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,UNIVERSAL IT SOLUTIONS SDN. BHD.,122000.00,KEPAKARAN,06/02/2015
PELANTIKAN SYARIKAT SPEEDMINER SDN BHD (SSB) SECARA RUNDINGAN TERUS OLEH PERBADANAN PRODUKTIVITI MALAYSIA (MPC) BAGI CADANGAN DAN KELULUSAN PELAKSANAAN TAMBAHAN LESEN DAN MENAMBAHBAIK SISTEM PENGKALAN DATA DI MPC SELAMA 12 BULAN BERMULA APRIL 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,PERBADANAN PRODUKTIVITI MALAYSIA (MPC),SPEEDMINER SDN. BHD.,99966.00,SATU PUNCA (PERKHIDMATAN),06/02/2015
PELANTIKAN SYARIKAT CENTURY SOFTWARE (M) SDN BHD SECARA RUNDINGAN TERUS OLEH PERBADANAN PRODUKTIVITI MALAYSIA (MPC) BAGI CADANGAN DAN KELULUSAN PEMBELIAN MODUL GST SAGA VERSI 8.2 UNTUK KEGUNAAN DI MPC  UNTUK TEMPOH PEROLEHAN 3 BULAN BERMULA APRIL 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,PERBADANAN PRODUKTIVITI MALAYSIA (MPC),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,107016.00,SATU PUNCA (BEKALAN),06/02/2015
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI MENAIKTARAF, MENGUJI DAN MENTAULIAH SISTEM   WORKSTATION BAGI PERALATAN PERUBATAN BONE DENSITOMETER JENAMA HOLOGIC UNTUK JABATAN PENGIMEJAN DIAGNOSTIK HOSPITAL KUALA LUMPUR",BEKALAN,KEMENTERIAN KESIHATAN,HOSPITAL KUALA LUMPUR,MEDIKRAFT SDN. BHD.,89500.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),29/01/2015
PEROLEHAN SECARA RUNDINGAN TERUS DENGAN UNIVERSITI PENDIDIKAN SULTAN IDRIS (UPSI) BAGI MELAKSANAKAN KURSUS AMALI SAINS PEMBANTU MAKMAL PERKHIDMATAN BUKAN GURU KEMENTERIAN PENDIDIKAN MALAYSIA MULAI MAC 2015 HINGGA SEPTEMBER 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN,TIADA AGENSI,UNIVERSITI PENDIDIKAN SULTAN IDRIS (UPSI),2979848.40,"MENDESAK, PENYERAGAMAN, KEPAKARAN",21/01/2015
PERMOHONAN PEROLEHAN PERKHIDMATAN SOKONGAN TEKNIKAL DAN PENYELENGGARAAN PERISIAN SISTEM PENGURUSAN DESKTOP TCO!STREAM DI LEMBAGA HASIL DALAM NEGERI MALAYSIA (LHDNM) SECARA RUNDINGAN TERUS DENGAN SYARIKAT WORLDTECH SOLUTIONS SDN. BHD BAGI TEMPOH DUA  TAHUN MULAI 1 MAC 2015 HINGGA 28 FEBRUARI 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),WORLDTECH SOLUTIONS SDN. BHD.,1496000.00,SATU PUNCA (PERKHIDMATAN),20/01/2015
"PERMOHONAN KELULUSAN PERTAMBAHAN KUANTITI BAGI PEROLEHAN SECARA RUNDINGAN TERUS MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENGUJI DAN MENTAULIAH 2 UNIT MESIN PENGIMBAS BAGASI",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,,DINUAR SDN. BHD.,340000.00,Keperluan Mendesak,13/02/2013
PERMOHONAN RUNDINGAN TERUS BAGI PELANTIKAN KMF MALAYSIAWE SEBAGAI PEMBEKAL PERKHIDMATAN UNTUK PERSIAPAN LOGISTIK DAN KEPERLUAN TEKNIKAL SEMPENA PROGRAM MINGGU BUDAYA MALAYSIA PARIS 2015,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,TIADA AGENSI,KMF MALAYSIAWE,3232777.00,"BUMIPUTERA (PEMBUAT), KEPAKARAN",19/01/2015
"PERMOHONAN KELULUSAN PEROLEHAN PERKHIDMATAN 
PENYENGGARAAN DAN SOKONGAN BERKAITAN EMC CENTERA 96 NODES, APPLICATIONXTENDER, DISKXTENDER DAN REPLISTOR DI LEMBAGA HASIL DALAM NEGERI MALAYSIA BAGI TEMPOH SATU (1) TAHUN.",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),IKHLAS INFORMASI TEKNOLOGI SDN. BHD.,2310000.00,"Keperluan Mendesak, Penyeragaman",07/02/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS DENGAN SYARIKAT ING PUBLIC TAKAFUL EHSAN BERHAD BAGI MENDAPATKAN PERKHIDMATAN PELAKSANAAN KEMUDAHAN INSURANS PERUBATAN DAN RAWATAN KLINIK PESAKIT LUAR KEPADA PEKERJA PERBADANAN HARTA INTELK MALAYSIA,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",PERBADANAN HARTA INTELEK MALAYSIA,ING PUBLIC TAKAFUL EHSAN BERHAD,394837.59,Kepakaran,05/02/2013
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN SECARA RUNDINGAN TERUS PEROLEHAN UNTUK MAJLIS PERHIMPUNAN PERDANA RT DAN PERSIDANGAN RT JPNIN TAHUN 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERPADUAN NEGARA DAN INTEGRASI NASIONAL,"DE PALMA MANAGEMENT SERVICES SDN. BHD., PUTRAJAYA INTERNATIONAL CONVENTION CENTRE",339700.00,Keperluan Mendesak,05/02/2013
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN CENTRE OF EXCELLENCE (COE) SPA UNTUK MELAKSANAKAN KURSUS NOSS JURUTERAPI SPA (MP-061-3:2012) MENGGUNAKAN KAEDAH SISTEM LATIHAN DUAL NASIONAL,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,BEAUBELLE AESTHETICS ACADEMY SDN. BHD.,700000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",30/01/2013
"PERMOHONAN KELULUSAN SEWAAN PERKHIDMATAN PRASARANA, KEMUDAHAN-KEMUDAHAN LATIHAN DAN PERKHIDMATAN SAJIAN MAKANAN UNTUK PROGRAM LATIHAN KHIDMAT NEGARA (PLKN) DI KAMPUNG TUA, BELANJA KIRI, PARIT, PERAK BAGI TEMPOH EMPAT (4) TAHUN.",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTAHANAN,JABATAN LATIHAN KHIDMAT NEGARA,TEGAS PROLIFIK SDN BHD,20953296.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),30/01/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS PERKHIDMATAN BROADBAND UNIFI BAGI AKSES INTERNET MELALUI WIFI DI ANGKASAPURI DENGAN TELEKOM MALAYSIA,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,JABATAN PENYIARAN MALAYSIA,TELEKOM MALAYSIA BERHAD,107856.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Keperluan Mendesak",21/01/2013
PERMOHONAN KELULUSAN KONTRAK PENYELENGGARAAN PERALATAN BAGI SATU (1) UNIT FULL FIELD DIGITAL MAMMOGRAPHY SECARA RUNDINGAN TERUS DENGAN AGEN TUNGGAL TEMPATAN,BEKALAN,KEMENTERIAN PENDIDIKAN TINGGI,UNIVERSITI MALAYA,SIEMENS MALAYSIA SDN. BHD.,620000.00,"Keperluan Mendesak, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",11/01/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PELAKSANAAN PROGRAM PENSIJILAN 1-INNOCERT,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,SME CORPORATION MALAYSIA,SIRIM BERHAD,699600.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),09/01/2013
PERMOHONAN RUNDINGAN TERUS BAGI PEMBELIAN BALIK (BUY BACK) DAN KONTRAK PENYELENGGARAAN SISTEM W-ICCS SELAMA TIGA TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA KEMAJUAN IKAN MALAYSIA (LKIM),TECHNOLOGY INNOVATION RESOURCES SDN. BHD.,2500000.00,Penyeragaman,08/01/2013
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI PELANTIKAN PERSATUAN PENGILANG-PENGILANG KASUT MALAYSIA SEBAGAI PERUNDING ACARA MALAYSIA INTERNATIONAL SHOE FESTIVAL (MISF) TAHUN 2013 YANG BERLANGSUNG PADA 28 HINGGA 31 MAC 2013,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,MALAYSIAN FOOTWEAR MANUFACTURERS ASSOCIATION,3188000.00,Kepakaran,07/01/2013
PERMOHONAN KELULUSAN CADANGAN PELANTIKAN SECARA RUNDINGAN TERUS KONTRAK PERKHIDMATAN PENYENGGARAN SISTEM Q-RADAR DI JABATAN PENGURUSAN RISIKO (JPR) BAGI TEMPOH TIGA TAHUN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),TRICORS ROOTS CONSULTING SDN. BHD.,94525.50,SATU PUNCA (BEKALAN),16/01/2015
PERMOHONAN KELULUSAN CADANGAN PELANTIKAN SYARIKAT CYBER BUSINESS SOLUTIONS SDN BHD SECARA RUNDINGAN TERUS BAGI PENYELENGGARAAN SISTEM MIDDLEWARE FOR THIRD PARTY/PAYMATE SELAMA DUA TAHUN MULAI 1 MAC 2015 HINGGA 28 FEBRUARI 2017 DAN OPSYEN PELANJUTAN DUA TAHUN MULAI 1 MAC 2017 HINGGA 28 FEBRUARI 2019 OLEH KUMPULAN WANG SIMPANAN PEKERJA,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),CYBER BUSINESS SOLUTIONS SDN. BHD.,380909.73,"PENYERAGAMAN, KEPAKARAN",16/01/2015
